"token","value","do not translate","character limit","comment","last updated"
"os_mtv","Song Title...","","","",""
"os_button_prompts","Button Prompts","","","",""
"os_mtv_vis_default","Visibility: DEFAULT","","","",""
"os_mtv_vis_always","Visibility: ALWAYS","","","",""
"os_mtv_pos","Position...","","","",""
"os_currentsong","Shown Info...","","","",""
"os_artist_on","Artist: ON","","","",""
"os_artist_off","Artist: OFF","","","",""
"os_famous_on","As Made Famous By: ON","","","",""
"os_famous_off","As Made Famous By: OFF","","","",""
"os_album_on","Album: ON","","","",""
"os_album_off","Album: OFF","","","",""
"os_year_on","Year: ON","","","",""
"os_year_off","Year: OFF","","","",""
"os_genre_on","Genre: ON","","","",""
"os_genre_off","Genre: OFF","","","",""
"os_source_on","Source: ON","","","",""
"os_source_off","Source: OFF","","","",""
"os_static_bg","Static Background","","","",""
"big_club_toys","The Big Cassettes","","","",""
"big_club_standard","The Club","","","",""
"big_club_industrial","The Industrial Club","","","",""
"big_club_arcade_empty","The Arcade (1 Audience Member)","","","",""
"small_club_industrial","The Barn","","","",""
"small_club_roadhouse","The Roadhouse","","","",""
"small_club_trashed","The Basement (Trashed)","","","",""
"arena","The Arena","","","",""
"big_club_practice","The Practice Area","","","",""
"os_screensaver","Screensaver","","","",""
"os_fast_start_on","Fast Start: ON","","","",""
"os_fast_start_off","Fast Start: OFF","","","",""
"os_notification_icon_colored","Plugin Notification Icon: Colored","","","",""
"os_notification_icon_bw","Plugin Notification Icon: B/W","","","",""
"os_instrumentswap","Change instrument type","","","",""
"os_pad_mapping","Change gamepad mapping","","","",""
"os_additional_parts_on","Non-Standard Parts: ON","","","",""
"os_additional_parts_off","Non-Standard Parts: OFF","","","",""
"os_rbguitar","Rock Band 1-3 Guitar","","","",""
"os_rbdrums","Rock Band 1-3 Drums","","","",""
"os_rb4guitar","Rock Band 4 Guitar","","","",""
"os_rb4drums","Rock Band 4 Drums","","","",""
"os_ghguitar","Guitar Hero Guitar","","","",""
"os_ghdrums","Guitar Hero Drums","","","",""
"os_screensaver_warning","You will need to restart the game to continue playing. Do you want to continue?","","","",""
"os_emu_warning","Changing this setting may break RB4DX. If you experience crashing, you will need to delete the 'emu_override' file in 'data/CUSA02084/GoldHEN/RB4DX/settings' Are you sure you want to continue?","","","",""
"os_delayed_effect_warn","This option will take effect the next time you restart the game.","","","",""
"os_additional_parts_info","Press yellow on the part select menu to get non-standard parts to appear (PAD/VOCALS ONLY).","","","",""
"os_ingame_warn","This option will take effect when you go back to music library.","","","",""
"os_track_angles_warn","Track Angles are EXPERIMENTAL, and will not work with drums or multiplayer. Do you want to continue?","","","",""
"os_gem_color_confirm","Would you like to reset gem colors to default or edit your colors?","","","",""
"os_edit","Edit","","","",""
"os_static_menu_bg_confirm","Would you like to reset Menu BGs to default or edit your static BG?","","","",""
"os_saving_warn","This setting will disable saving until you restart the game. Do you want to continue?","","","",""
"os_saving_disabled","You will need to restart the game to re-enable saving.","","","",""
"os_video_cal","- Video: %d ms +","","","",""
"os_audio_cal","- Audio: %d ms +","","","",""
"os_per_controller_cal","Per-Controller Calibration","","","",""
"os_dualshock_cal","- Dualshock: %d ms +","","","",""
"os_rb1_guitar_cal","- Rock Band 1 Guitar: %d ms +","","","",""
"os_rb2_guitar_cal","- Rock Band 2/3 Guitar: %d ms +","","","",""
"os_rb4_strat_cal","- Rock Band 4 Stratocaster: %d ms +","","","",""
"os_rb4_jag_cal","- Rock Band 4 Jaguar/Riffmaster: %d ms +","","","",""
"os_gh_guitar_cal","- Guitar Hero Guitar: %d ms +","","","",""
"os_rb1_drums_cal","- Rock Band 1 Drums: %d ms +","","","",""
"os_rb2_drums_cal","- Rock Band 2/3 Drums: %d ms +","","","",""
"os_rb4_drums_cal","- Rock Band 4 Drums: %d ms +","","","",""
"os_gh_drums_cal","- Guitar Hero Drums: %d ms +","","","",""
"os_rr_drums_cal","- Rock Revolution Drums: %d ms +","","","",""
"os_mpa_drums_cal","- MIDI Pro Adapter Drums: %d ms +","","","",""
"os_all_offsets_vanilla","[RESET ALL TO VANILLA]","","","",""
"os_all_offsets_custom_optimal","[SET TO CUSTOM-OPTIMAL]","","","",""
"os_player_intros_on","Player Intro Animations: ON","","","",""
"os_player_intros_off","Player Intro Animations: OFF","","","",""
"random_full","Full Crowd Venues","","","",""
"random_full_emu","Full Crowd Venues","","","",""
"big_venues","Big Club Venues","","","",""
"big_venues_emu","Big Club Venues","","","",""
"small_venues","Small Club Venues","","","",""
"nice_solo","Nice","","","",""
"choke_solo","Awesome Choke!","","","",""
"version_number","%s","","","",""
"harmonix_splash_legal","","","","",""
