"token","value","do not translate","character limit","comment","last updated"
"os_hud_vis_never","Visibilidad: Nunca","","","",""
"os_score_pos","Posición de Puntaje","","","",""
"os_solo_pos","Posición del Solo","","","",""
"os_vox_solo_pos","Tambourine Percentage Position","","","",""
"os_countdown_pos","Break Countdown Position","","","",""
"os_vox_countdown_pos","Vocals Break Countdown Position","","","Posicion de Cuenta regresiva de Vocales",""
"os_mtv","Título del Tema","","","",""
"os_button_prompts","Símbolos de botones","","","",""
"os_mtv_vis_default","Visibilidad: Por Defecto","","","",""
"os_mtv_vis_always","Visibilidad: Siempre","","","",""
"os_mtv_pos","Posición","","","",""
"os_currentsong","Mostrar Informacion","","","",""
"os_artist_on","Artista: Sí","","","",""
"os_artist_off","Artista: No","","","",""
"os_famous_on","Un clásico por: Sí","","","",""
"os_famous_off","Un clásico por: No","","","",""
"os_album_on","Álbum: Sí","","","",""
"os_album_off","Álbum: No","","","",""
"os_year_on","Año: Sí","","","",""
"os_year_off","Año: No","","","",""
"os_genre_on","Género: Sí","","","",""
"os_genre_off","Género: No","","","",""
"os_source_on","Origen: Sí","","","",""
"os_source_off","Origen: No","","","",""
"os_static_bg","Fondo Estático","","","",""
"big_club_toys","El GRAN Casete","","","",""
"big_club_standard","El Club","","","",""
"big_club_industrial","El Club Industrial","","","",""
"big_club_arcade_empty","El Arcade (1 Espectador)","","","",""
"small_club_industrial","El Granero","","","",""
"small_club_roadhouse","Bar de carretera","","","",""
"small_club_trashed","El Sótano (Destrozado)","","","",""
"arena","La Arena","","","",""
"big_club_practice","La Area de Practica","","","",""
"os_screensaver","Protector de pantalla","","","",""
"os_fast_start_on","Inicio Rápido: Sí","","","",""
"os_fast_start_off","Inicio Rápido: No","","","",""
"os_notification_icon_colored","Icono del plugin: A color","","","",""
"os_notification_icon_bw","Icono del plugin: B/N","","","",""
"os_instrumentswap","Cambio de Instrumento","","","",""
"os_pad_mapping","Opciones de entrada","","","",""
"os_additional_parts_on","Partes Extras: Sí","","","",""
"os_additional_parts_off","Partes Extras: No","","","",""
"os_rbguitar","Guitarra de Rock Band 1-3","","","",""
"os_rbdrums","Batería de Rock Band 1-3","","","",""
"os_rb4guitar","Guitarra de Rock Band 4","","","",""
"os_rb4drums","Batería de Rock Band 4","","","",""
"os_ghguitar","Guitarra de Guitar Hero","","","",""
"os_ghdrums","Batería de Guitar Hero","","","",""
"os_screensaver_warning","Tendrás que reiniciar el juego para seguir jugando. ¿Seguro que quieres continuar?","","","",""
"os_emu_warning","Modificar esto puede causar que RB4DX deje de funcionar. Si experimentas cierres, elimina 'emu_override' en 'data/CUSA02084/GoldHEN/RB4DX/settings' ¿Seguro que quieres continuar?","","","",""
"os_delayed_effect_warn","Esta opción surtirá efecto la próxima vez que reinicies el juego.","","","",""
"os_additional_parts_info","Pulsa el botón amarillo en el menú de selección de instrumento para mostrar los demas instrumentos (solo para PAD/VOCES).","","","",""
"os_ingame_warn","Esta opción surtirá efecto cuando vuelvas a la biblioteca musical.","","","",""
"os_track_angles_warn","El ángulo de la pista es EXPERIMENTAL y no funcionara en batería, ni en el modo multijugador. ¿Seguro que quieres continuar?","","","",""
"os_gem_color_confirm","¿Quieres restablecer los colores de las gemas a los predeterminados o editar sus colores?","","","",""
"os_edit","Editar","","","",""
"os_static_menu_bg_confirm","¿Quieres restablecer los fondos del menú a los predeterminados o editar tu fondo estático?","","","",""
"os_saving_warn","Esta opción desactivará el guardado de la partida hasta que reinicies el juego. ¿Seguro que quieres continuar?","","","",""
"os_saving_disabled","Tendrás que reiniciar el juego para volver a activar el guardado de la partida.","","","",""
"os_video_cal","- Vídeo: %d ms +","","","",""
"os_audio_cal","- Audio: %d ms +","","","",""
"os_per_controller_cal","Calibración Por Mando","","","",""
"os_dualshock_cal","- Dualshock: %d ms +","","","",""
"os_rb1_guitar_cal","- Guitarra de Rock Band 1: %d ms +","","","",""
"os_rb2_guitar_cal","- Guitarra de Rock Band 2/3: %d ms +","","","",""
"os_rb4_strat_cal","- Stratocaster de Rock Band 4: %d ms +","","","",""
"os_rb4_jag_cal","- Jaguar/Riffmaster de Rock Band 4: %d ms +","","","",""
"os_gh_guitar_cal","- Guitarra de Guitar Hero: %d ms +","","","",""
"os_rb1_drums_cal","- Batería de Rock Band: %d ms +","","","",""
"os_rb2_drums_cal","- Batería de Rock Band 2/3: %d ms +","","","",""
"os_rb4_drums_cal","- Batería de Rock Band 4: %d ms +","","","",""
"os_gh_drums_cal","- Batería de Guitar Hero: %d ms +","","","",""
"os_rr_drums_cal","- Batería de  Rock Revolution: %d ms +","","","",""
"os_mpa_drums_cal","- Batería MIDI Pro Adapter: %d ms +","","","",""
"os_all_offsets_vanilla","[REVERTIR VALORES]","","","",""
"os_all_offsets_custom_optimal","[AJUSTAR PARA INST. MODIFICADOS]","","","",""
"os_player_intros_on","Animación de entrada: Sí","","","",""
"os_player_intros_off","Animación de entrada: No","","","",""
"random_full","Locales a reventar","","","",""
"random_full_emu","Locales a reventar","","","",""
"big_venues","Locales Grandes","","","",""
"big_venues_emu","Locales Grandes","","","",""
"small_venues","Locales Pequeños","","","",""
"nice_solo","Nice","","","",""
"choke_solo","¡Vaya manqueada!","","","",""
"version_number","%s","","","",""
"harmonix_splash_legal","","","","",""
